upvotes,total_votes,rating,review,sentiment,confidence
1,2,5,"I tried this and I found it too salty.<br />Plus I ate this fish sauce with some fish but I realized it was kind of redundant.<br /><br />I'm kidding, of course. This stuff is great!",2,0.4379602372646332
0,0,5,I don't usually drink tea but I love this one. I thought the shipping price was a little high but love the tea so much that I had to get it. Perfect with a little bit of Honey.,2,0.9396218061447144
1,1,1,The noodles in the box were all broken.  The sauce was over salted and did not have a good flavor.  I threw out most of the skillet.  I would recommend not purchasing this product.,0,0.9508022665977478
0,0,5,"Cavenders makes the best vinegar and oil dressing ever. couple of tbls of cavenders and 1/4 vinager and 1/4 h2O, rest oil. good!",2,0.9628929495811462
5,6,5,"It's balanced, it's tasty, it's filling, it's good for you -- what more could you ask of a breakfast cereal?<br /><br />I still miss Kellogg's sister product, Just Right, which was a somewhat lighter blend (I loved it, they discontinued it), but Mueslix is a strong second-best.",2,0.9377843737602234
3,4,5,Don't know why I can't find these in my supermarket but I can't.  You get pack of 5 when you order.  Was afraid 5 boxes would last too long.  Instead found I need to order another 5-pack.,0,0.8544607758522034
7,10,2,"On a trip to Italy, muesli is what all the hotels had for breakfast as their cold cereal and I loved it.  Imagine how excited I was when I saw that Kellog's sold this product.  What did I learn?: despite the similar name, this cereal is quite unlike European-style muesli.  While the overall mix of grains and fruits is similar, this cereal is mostly a flake cereal, while a true muesli has no cereal flakes at all.<br /><br />""Real"" muesli is made of rolled (not flaked) grains; this has pluses and minuses.  On the plus side, milk does not turn European mueslis to mush in a couple of minutes like it does flake cereals.  On the minus side, European mueslis have to be soaked in milk or yogurt for about ten minutes or so (i.e. while you are in the shower, or while the coffee is brewing) or the cereal will be a bit on the chewy side.  For those that are concerned about eating processed foods, rolled grains have been processed less than flaked ones.  (Rolled grains are lightly steamed and then rolled and lightly toasted; flaked grains are fully steam-cooked until they are mush, pressed into flakes, fully baked and then usually sprayed with sugar to extend ""time-to-mushiness."")  And certainly only the Kellog's product contains HFCS.<br /><br />You owe it to yourself to try one of the many other mueslis from Amazon (or better yet, single boxes from a local health-foods store if you have one) and see what you prefer.  I eat the Bob's Red Mill product available on Amazon (and one of my local grocery chains) instead of this, and am much more satisfied.  I haven't tried Familia (but I'm not crazy about the idea of the ""fruit flakes""), and the Dorset products are too fruit and nut heavy for me.  The other products are a hair more expensive than the Kellog's, but I'm willing to plunk down an extra dime or so per breakfast for a far superior product.<br /><br />I'm surprised Quaker doesn't sell a muesli product...  Given that they have to be the largest producer of rolled grains in the U.S., you'd think it would be a natural fit for them.",2,0.9486775398254395
4,6,2,"Recently purchased this cereal assuming it would contain nothing but healthy ingredients, then I read the label and discovered it contains partially hydrogenated soybean oil and high fructose corn syrup.",0,0.5531873106956482
0,0,5,"I bought this product online because, although it is a Kellogg cereal, I cannot find a retail store which carries it, and incidentally I would like to know why. I called Kellogg and they could really give me no good answer, and suggested I try another product of theirs, which i found not as good as this. I appreciate that Amazon offers this, and I will continue to order it.  By the way,  it really keeps me ""regular"", better than any other cereal.  Try it, you'll like it.",0,0.5647015571594238
0,0,5,"This cereal is difficult to find in the stores so I appreciate being able to purchase it through Amazon.  My husband really likes it and looks forward to the delivering of it every month.  Seems like an unlikely thing to look forward to, but it's the little things that count.  P. Looney",2,0.9616391062736511
2,4,5,"You could find this in local supermarkets about 4 months ago but now it nowhere to be found. Every time Kellogg's makes a great cereal, they quit making it soon after. This is the case with Just Right, THAT WAS THE BEST STUFF ON THE PLANET!",0,0.4575107991695404
0,1,5,"This has been my favorite cereal for probably 20 years.  The grocery stores stopped selling it, so I've started buying it on the web in packs of 5 boxes.  I use them up pretty fast.",2,0.9492594003677368
0,1,5,"I LOVE THIS CEREAL.  NOT ONLY DOES IT TASTE GOOD, IT'S GOOD FOR YOU.  IT'S A PITY THAT I CAN'T FIND THIS CEREAL IN ANY OF THE LOCAL SUPERMARKETS.  OTHER BRANDS DO NOT MATCH UP.",2,0.9288901090621948
0,1,5,"Have been enjoying Mueslix since early '90s.  Some reason, I can not locate mueslix in local supermarkets in New York, so I order through Amazon.  Taste is perfect not so sweet.  I do not care too much about raisins but in this cereal I do enjoy greatly.  It is enjoyable way to supplement fibers with whole grain, a perfect breakfast that lasts until lunch time!  Tried all different kind & choices of many cereals out there but there is nothing like Mueslix;",2,0.9404202699661255
0,1,5,"Amazon's price may be higher than some grocery stores, but it isn't in my store so this is a good way to shop.<br />I first tried this on a Princess cruise ship.  I found it is very good and filling.  It stays with me, which is very important.<br />I am super please to find this!",2,0.9306408762931824
0,1,5,"I almost can't stop eating this cereal...I eat it for breakfast and then in the evening, when I think I want something to eat and am really not hungry, I snack on these.  After all, it's healthy, so long as I remembeer it's not healthy to eat a cup or more.  Enjoy!",2,0.9140738248825073
0,1,5,Our local stores all stopped carrying this product and were putting their own imitation brands on the shelf......just not the same!  Great that I could order and have my cereal within days!,0,0.5734070539474487
0,1,5,"Mueslix has been my favorite cereal since it came out years ago.  HOWEVER, they have (improved????) it by adding more raisins and nuts to the point of making it too rich!  I simply add about half of a grain cereal, such as cornflakes which also reduces the high price.  Stores keep discontinuing Mueslix to the point that it is hard to find!  Thank you Amazon!",2,0.7182577848434448
0,1,5,"This cereal is hard to find in local stores where I live. My wife and I love this cereal for its taste and healthfulness. Whenever I find it in some hotel breakfast buffets, I am a happy man. I cannot think of eating any other cereal.",2,0.9566199779510498
1,3,5,"Kellogg's Mueslix had replaced local muesli previously served in European B&B's on our last trip. Not available locally, but Amazon provided with a fair price, rapid delivery and no shipping cost with my Prime Shipping. Excellent form of Muesli!",2,0.9313212633132935
1,3,5,Eating healthy never tasted so good. Tough to find in my local stores but Amazon has it at a great price especially through subscribe and save.,2,0.9135159850120544
1,3,5,"The Kelloggs Muselix are delicious and the delivery was quick.<a href=""http://www.amazon.com/gp/product/B001E6KBSK"">Kellogg's Crispy Blend Mueslix Raisins, Dates & Almonds, 15.3-Ounce Unit (Pack of 5)</a>",2,0.9664239287376404
0,2,5,"This cereal is the best cereal on the market.  It has many flavors, including nuts, raisins, dates, and especially a light malt flavor.  I have enjoyed it most mornings for years.",2,0.9860031604766846
0,2,5,"I have been eating Kellogg's Mueslix for years. I love the mix of fruit, almonds, and whole grain. It used to be easy to find but when I couldn't find it in my local super markets, I was afraid it had been discontinued. When I found it on Amazon, I was pretty happy.",2,0.9456568360328674
0,2,5,"It was a sad moment when I was unable to find my favorite cereal in the grocery stores.  I'm not sure why it disappeared, but am so grateful I'm able to purchace this online.  Thanks!",0,0.5379204750061035
0,2,5,its hard to find in the us my husband frm jamaica and he loves it he says it makes him fill full all day i get it every mo.,2,0.8795173764228821
0,2,5,"My Mom who is in now New York, in an assisted living facility love's this ceral.  She was buying Kellogg's Mueslix when she lived in Florida, but when I went to buy it for her in NY where she is, I had no luck. I called Kellogg's themselves and they directed me to Amazon.com. I was so please that they sold the ceral and I can have it shipped for free to her. I also save money on each box and I also do not have to pay for the shipping. So now you have two happy people, my mom who gets her favorite ceral shipped directly every few months(they send 5 boxes)and me for saving money and time shopping and shipping the package to my mom.",2,0.754559338092804
0,2,4,"I have been struggling to find them in the shops nearby.<br />Much more convenient to order them through Amazon (slightly more expensive, but I save the gas and the burden).",1,0.47340115904808044
0,2,5,The Kellogg Mueslix Cereal was ordered one evening and just a couple of days later it arrived. The item was well packed. Contents were fresh. Encountered no problems<br />and plan to use this resource again.,2,0.9187013506889343
1,4,3,"I really like the Mueslix cereal, but the Amazon price is awful.<br />$22.73 for a 5 pack is over $4.50 a box.<br />This product RETAILS in the stores here for around $4 a box (Publix, Kroger, Ingles).<br />So the Amazon price is higher than retail.<br /><br />Mueslix is almost never on sale though, unlike other Kellogg's cereals.<br />1-2 times per year, Publix grocery has all Kellogg's cereals for half price.<br />$2/box is an incredible price and we stock up for the next several weeks.<br /><br />I expected the Amazon price to be more like $3/box, since it was a 5 pack.<br />But boy was I wrong.",0,0.6190983653068542
5,11,1,"It's no secret that high fructose corn syrup is detrimental to your health. Unfortunately, it's also no secret that it has replaced other forms of sugar in a disturbingly large number of manufactured foods. Even worse is that most high fructose corn syrup is made from genetically modified corn.<br /><br />Since the late 1980s, HFCS has replaced regular table sugar, honey, and similar sweeteners in practically everything. Prolonged consumption of HFCS is now the topic of much debate and we are learning that it can cause long-term damage to the body.<br />High Fructose Corn Syrup Dangers<br /><br />1. Significant Risk of Weight Gain & Obesity<br />2. Increased Risk of Developing Type-2 Diabetes<br />3. Hypertension and Elevated ""Bad"" Cholesterol Levels<br />4.  Long-Term Liver Damage<br />5. Mercury Exposure from HFCS<br /><br />Kelloggs and other manufacturers know this and are slowly getting rid of this sweetner. Look at the cover of Post Rain Bran. They are advertising that it contains NO HIGH FRUCTOSE CORN SYRUP.I applaud them for this. High Fructose Corn Syrup is made from genetically modified corn from Monsanto which uses systemic pesticides in their seeds which is causing Colony collapse disorder in bees. I am a bee keeper and have been avoiding all products with HFCS in them to save my family and the bees. Watch vanishing of the Bees,Food Matters and Food Inc. They are all sold on Amazon. Excellent movies which will change your health dramatically and the way you think and eat.",0,0.8545114398002625
0,3,5,"Local grocery stores don't carry this cereal so I order it. It is full of nuts, raisins, and other great stuff. I cut up a banana in it instead of adding sugar. My favorite box cereal.",2,0.9555781483650208
0,0,5,"Just got the baby back ribs and the strips of jerky out of the smoker, wow this seasoning really added a lot of flavor, what was surprising was the fact that I knew I had added to much seasoning but it didn't turn out over powering. I would recommend this to anyone who is cooking any kind of meat, the jerky is great, but the ribs are outstanding, and for 27$ including shipping for 12lbs, awesome deal.",2,0.9530442953109741
0,0,5,"I try every Asian salad dressing I can find.<br />This is my favorite one for salads because of it's delicate taste.<br />My other favorite is ""Newman's Own, Low Fat Sesame Ginger"".<br />The ginger in Newman's gives it a stronger flavor which is great<br />as a marinade or just sprinkle on rice and vege dishes.",2,0.9696942567825317
0,0,5,"Wow, this is soooo good and has easily become my favorite dressing! I typically make my own dressings, however I do use this one as a treat!<br /><br />It was given to me as a gift and I absolutely love it! It's a perfect balance of sweet and oily and bitter. Granted, it needs a good shaking since it's oil based! I absolutely love this and am sad I am running out! If you eat salads like me every day, then you will want this dressing! It's unique and I NEVER had somebody over who didn't love it! :)",2,0.9809212684631348
0,2,3,"i bought the liter size bottles of this dressing on Amazon, so i am assuming they are the same since they have the same name and the nutritional facts are identical. This dressing is definitely too sweet for my taste. My wife agrees. Otherwise very good. I use it on tossed salads only.",1,0.4166295528411865
0,0,1,Coffee beans did not seem fresh.  No oil on them what so ever.  I have tasted much better and fresher.  Will not order again.,0,0.5089187026023865
1,3,5,"This coffee company delivers on great coffee taste!!  I like my coffee with deep, robust taste and Jeremiah's always is!!  It makes me glad to purchase it!!  Thanks!!",2,0.988150954246521
4,4,4,"This is a cute product to use in place of sprinkles - the bright colors of candy coating look great, and the chocolate center keeps them from being overly sweet.<br /><br />However this price is roughly double what you pay at Michael's (or Marshall's, when they stock stuff like this). Plus you can get the same product but in a 16 oz bag on Amazon here: http://www.amazon.com/CK-Products-Rainbow-Candy-Coated/dp/B00375LAO0/ref=sr_1_1?ie=UTF8&s=home-garden&qid=1300131716&sr=1-1. Comes with Prime shipping too!",2,0.9455482363700867
0,0,1,Tossed this out after trying it.  Texture and taste were far below expectations.  Seemed kind of mushy and pasty.  Pricy to boot.,0,0.8321182131767273
0,0,5,I actually gave these to a local baker for my daughters cupcakes. They looked great. Showed up perfectly on white and chocolate icing. In great shape.,2,0.9814907312393188
8,8,5,"This is the first time I've used the coconut oil from Manila Coco Factory and I was so pleased with the taste, smell and overall incredible quality that I will buy more and recommend it to my family and friends.  I am so glad I tried it. I have been using coconut oil for several years and it has changed my life and health.  This oil ranks high in my book. Also, I liked ordering this product through amazon because they make it fast, easy and painless. Thank you for having this product on your site Amazon.",2,0.9863259792327881
8,12,2,"They claim this product is ""unadulterated"", which would make you think ""oh! sweet! it's going to be the BEST, because nobody else's coconut oil says it's ""unadulterated"".  I checked out their website, and for those of you who don't know... you want to go for COLD PRESSED oils. If they're not cold pressed, it means they've been processed with major machinery and subjected to high heats, which as anything goes, can and usually does, kill any good minerals and vitamins. Their site posts information on their extraction process. As of today, this is what it states:<br /><br />""""Manila Coco oil extraction method is through a proprietary, state-of-the-art mechanical expeller (Manila VirginFlo), thermo-stable to hold off the lowest moisture possible (0.1%) to avoid rancidity and keep shelf life consistent up to 3 years under normal conditions. Our oils are 1st and 2nd stage press-induced, without chemical solvents, no bleaching, no deodorizing, no hydrogenation, no fermentation enzymes - to keep its natural light sweet coconut aroma and taste. This method sustains its unique character even when subjected to high (up to 170 degrees Celsius) heat temperatures.""""<br /><br />Mechanical Expeller is their form of extraction. And they also say it sustains unique character... blah blah blah... when subjected to high heat temperatures. Therefore, in my personal opinion, it is not as ""unadulterated"" as their information on their products on Amazon make them sound. I will be steering clear of their products.<br /><br />I'm sorry if my review offends some, but if you're going to pay good money for something, you should know about it. I would use different brands before sticking yourself with this one. I was looking for larger quantities, which is why I looked at this product, however I will be sticking with Nutiva. As their coconut oil is cold pressed soon after the coconuts are cut open. The information below is direct from their website.<br /><br />""""What makes Nutiva's virgin coconut oil so special? Much of the magic lies in the way the oil is processed. Within several hours of the coconuts being chopped, the meat is cold-pressed, unlike other varieties of coconut oil which can be left for more than 10 hours before pressing. Nutiva's approach preserves as much of the oil's natural color, flavor and aroma, giving you the best results for any use.""""<br /><br />If you don't care about how it's processed, it is still going to be much healthier than your average grocery store found vegetable and canola oils. If you want to read some scary things, look up the dark information on how those are processed. YUCK! Talk about horrifying.<br /><br />Thank you for your time.<br />-Amy<br /><br />PS. I used to be one of those ""organic? what kind of fruitcake are you? Think you're more special than anybody else?"" people. But I have learned so much in the past year and a half, dealing with my son's allergies and intollerances. There's more to it than ""oh it's more expensive, so it's just making me feel special because I can afford it."" No. There's WAY more to it than that. I urge everybody to talk to people about organic foods. It's a way of life, a healthier way of life. We all deserve to live healthier. If you live healthier, even though it costs more, in the long term you're saving money because you are healthier. So that means less doctor visits, less expensive (and nasty harmful) medications, etc.",2,0.7497682571411133
2,2,5,"I ordered the White Christmas, Christmas Eve, and Christmas Morning blends last year for the holidays and fell in love with the Christmas eve.  It's the smoothest of the bunch and has such a wonderful flavor, I use it for iced teas all year round.  I can honestly say that I never got into tea that much until I tried STASH teas.  I sent the licorice and lemon flavors to my father, and he called me to ask where I'd gotten it, because his neighbor wanted to get some for his wife, too.  Once tried, you will be addicted. Visit the stashtea website for lots of tea related bits and baubles.  These make perfect hostess gifts over the holidays along with a plate of cookies.",2,0.9705662727355957
0,0,5,"This is my very favorite tea of all. I drink it year-round and never get tired of it like I do of others. It's good any time of the day. Not too strong, but still nicely flavorful, with a good balance of minty/spicy/herbal-y.",2,0.9830589294433594
0,0,5,"Christmas Eve tea (which does not actually contain tea) is not just for Christmas Eve. (Although if you are frazzled, it does releave the stress.) Christmas Eve is good any time. I do not know anyone who doesn't like it, and have often given it as gifts. It is especially nice in the winter when mint teas are a little too brisk and do not produce the same level of cozy comfort as Christmas Eve which is a soothing combination of spices and mint. It is almost as comforting as a cup of warm milk, but without the calories.",2,0.7637365460395813
0,0,5,"Riba foods based in Houston, Texas makes this awesome black bean dip. It is pretty much all natural and without the lard that regular refried bean dip has in it. I am not sure why in Dallas TX it's so hard to find - maybe because Riba has SO Many good flavors??? I make the traditional 7-layer dip with this instead of the refried beans, and am thinking about creating a breakfast quesadilla with this and some verde sauce. Try it, it's not too too spicy but is very good!",2,0.8870415091514587
0,0,3,I was expecting to receive only Starburst. When I received this it was half Skittles which I did not want or need.  I needed only Starburst.  Next time I will just go to the store.,0,0.8207828402519226
3,3,2,"The Good:<br /><br />Walker shortbread cookies are my favorite, I love them.  I bought the highlanders and each set of cookies came individually wrapped with two cookies each.  If this were the end of it, a five star review.<br /><br />The Bad:<br /><br />Unfortunately, Amazon shipped them in a box that was about the same size as the container they came in from the Walkers cookie company.  After UPS was through with the shipment, my cookies were reduced to crumbs.  I contacted Amazon about this problem without ever receiving a response.  Since I bought these ""Shipped and Sold by Amazon"", I won't be purchasing these cookies from Amazon again.",2,0.7906563878059387
1,1,5,"<a href=""http://www.amazon.com/gp/product/B001GCVLXG"">Walkers Shortbread Highlander Shortbread Portion Pack, 1.4 Ounce Units (Pack of 24)</a><br />My family loves these! It's a great 'snack' to carry in the car or it's a wonderful surprise in a lunchbag. The flavor is so rich and pure...I forgot how wonderful these shortbread cookies were. And the price is nice, too...as well as Amazon.com. I love this place!",2,0.9663536548614502
0,0,5,"Walker's Highlanders are my favorite purchased cookie, so it was great to find them pre-packaged into 2 biscuits. Keeps them fresh longer and limits my snacking!",2,0.9670037627220154
0,0,5,"If you like Shortbread you will really like these. Walkers always makes the best Shortbread.<br /><a href=""http://www.amazon.com/gp/product/B001GCVLXG"">Walkers Shortbread Highlander Shortbread Portion Pack, 1.4 Ounce Units (Pack of 24)</a>",2,0.9624810218811035
3,5,1,"My cookies were in such tiny broken pieces ,they were useless. Upon complaint, a second mailing arrived several weeks later. The cookies were again in crumbs. The cookies were packed in  a box with a pitiful single air bubble. I gave this feedback and expected some effort to improve on the packing. But no, same packaging, same useless cookies.  Having enjoyed these Highlanders in the past, it was both a disappointment and a big waste of money.",0,0.9239127039909363
1,2,5,COULDN'T FIND THESE ANYWHERE BUT ON LINE - IT WAS WORTH THE WAIT BECAUSE THEY ARE TRULLY GREAT TASTING COOKIES.,2,0.9656904339790344
3,3,5,"Yes, these cubes are expensive; in fact, I almost gave them four stars for the expense.  Regardless, these sugar cubes are my favorite sugar product.  I've tried every brown sugar and cane sugar product you can find on Amazon and in your grocery store, and none of them compare to the rich, sweet, unique flavor of the brown sugar cubes by La Perruche.  Because I've tried so many brown sugar products, I believe the difference is the terroir, or the ground/land, where this sugar is grown.  La Perruche sugar cubes are made from African grown sugar; more specifically, sugar grown in Swaziland and/or the Congo.  Also, the cubes are denser than many sugar cubes.  I don't know from a scientific perspective how this is accomplished, but the cubes are not regularly sized, but are large and irregularly shaped, and heavier/sturdier than ""cut"" cubes by other producers.<br /><br />The flavor is a rich, distinct and more molasses-y flavor than other brown sugar cubes, and is somewhat darker as well.  I wish I could describe the flavor better, but it has been several months since I was able to find a somewhat affordable supply.  BTW, now that this product is being sold with free shipping via Amazon Prime, I just purchased several boxes - it is a much better deal as of the date of this review than it was a few months ago.  Recommended!",2,0.7143519520759583
0,0,5,We love these sugar cubes in the office.  They aren't your grandmother's sugar cube.  They have a rugged appearance (can sugar cubes be considered rugged).  And we combine them with the white sugar cubes from La Perruche.,2,0.9346985220909119
0,0,4,Love this for espressos...the raw sugar cube is not as sweet as the refined sugars and more rich in flavor.,2,0.9469534754753113
0,0,3,"It's a good idea to have raw sugar type cubes, but this was 3x the cost of granulated raw sugar",1,0.6273094415664673
1,1,5,"Due to my husband's and son's inability to eat gluten, cornstarch is used very frequently in many gluten free recipes.  I am very concerned with the prolific use of GMOs in corn especially and my family's increased consumption of it.  I wanted to find an affordable GMO free cornstarch product to use in all my baking.  Rumford Natural Cornstarch is the one!  I've been using it for months now with great success & satisfaction.",0,0.5708091259002686
5,11,1,"I purchased this product because of its name, ""Rumford NATURALS Corn Starch"" (the word ""Naturals"" appears large and clear on the pictured product label). Also, the Amazon description said it was made from ""Non-Genetically Modified Corn"". The label on the product that I ACTUALLY received does NOT say Rumford NATURALS, but it is still MADE WITH Non-Genetically Modified Corn. I say ""made with"" because this product now contains more than ONE ingredient. Its ingredients are: Cornstarch, Calcium Sulfate*, and ONE of the suggested servings (1 Tblsp) contains 15% of the ""Daily Value"" of CALCIUM. That makes this product potentially a good source for dietary calcium supplementation. ON THE OTHER HAND, for persons who must restrict their calcium intake (example, some persons with kidney stones), it can pose a potential problem, even danger. Amazon provides themselves with a nice ""out"" for this. They list the following: Legal Disclaimer: ""Actual product packaging and materials may contain more and different information than what is shown on our website. We recommend that you do not rely solely on the information presented and that you always read labels, warnings, and directions before using or consuming a product."" BUT, IT IS NOT FAIR FOR AMAZON TO NOT AT LEAST LIST THE CORRECT INGREDIENTS AND PHOTO OF THE PACKAGE SO THAT YOU DO NOT HAVE TO ORDER THE PRODUCT IN ORDER TO ""READ LABELS"" AND FIND OUT WHAT YOU HAVE PURCHASED.<br /><br />I WILL NOT BUY THIS PRODUCT AGAIN:<br /> * because I don't need extra calcium<br /> * because I don't believe that the Calcium Sulfate was added out of interest in the consumer's health<br />  but to make the product cheaper to produce so it can be priced competitively with other brands<br />  and still be touted as having been made from/with Non-Genetically Modified Corn<br /> and just on principal because I can't afford to throw it away and did not want the hassle of returning it.<br /><br />I am very, very displeased with Amazon's incorrect listing of the product, which was brought to their attention when I purchased it in February 2012, and so far nothing has been done.<br /><br />*Although Calcium Sulfate is considered a safe food additive it is basically the same thing as Plaster of Paris. AND, if you use too much of this product (basically the same amount as I had previous used of pure CORN STARCH), the very stiff sediment in the bottom of the cooking container (I make pudding in Pyrex in a microwave and usually stir it only every 30 seconds) will remind you of damp plaster!",1,0.7959067225456238
1,2,1,Was really bummed to find out that these chocolates had melted before they got to my daughter for her bday.  Seems that they should not be sold online if there is not a way to keep them 'safe'.  :-(,0,0.9200401902198792
0,0,5,"If you love garlic, I recommend this flavored oil.  It is true to its name.  I was not expecting it to be so strong, so if I use it for cooking or dipping bread, I will mix it with some unflavored olive oil in the future.",2,0.9434596300125122
7,7,5,"These things are AWESOME. Perfect size, truly wafer thin, consistent thickness of dark chocolate over minty interior. They are like what would happen if you could run a steamroller over a junior mint. I first tried them when I was living in Germany 16 years ago, and to this day no other mint comes close. And the copycat ones? Disgusting. Go for the original. You won't regret it. Each mint is in its own sleeve, so you can pass them out without ever touching one. Elegant and delicious. Love them!",2,0.949385941028595
1,1,5,"Love these mints.  They melt in your mouth and taste better than any others I have tried.  Just wish they weren't so expensive.  You can't eat just one, a couple.  They are addictively delicious.",2,0.9646623134613037
1,1,5,I got it for my girlfriend. Very good stuff. Now everybody in the house eats them. Very hight quality if you are into chocolate and mint.,2,0.9732193946838379
0,0,5,"A friend's favorite candy is ""After Eight"", but they are not available anywhere in my area.  I couldn't find them on-line either.  Amazon.com came through.  These are imported from England and the most delicious peppermint.  These are so thin with a smooth mint cream center and a dark chocolate shell.  If you just want a little taste of mint, this is for you.  Really special with a cup of hot coffee!",2,0.3764720857143402
2,2,4,"Nature's Recipe is now a division of that mega company Del Monte Foods.<br /><br />The Test<br /><br />The neat thing about this food is that it really does look like the photograph on the bag. It consists of smallish kibble with pieces of dried carrots and peas mixed in. When the bag was first opened the girls ate small amounts of Farm Selects unmixed and readily took to it. Since then they've been eating it mixed with their Blue food.<br /><br />I thought Evie and Piper might fuss with the dried vegetables in there, but they don't specifically target the vegetables to leave behind.<br /><br />The quality of this food is obvious to one who reads the ingredient list. Only one ingredient, that animal digest, makes me cringe a little. The girls don't mind it a bit. For goodness alone I can heartily recommend this natural food, but the price on it is relatively high. Rachel Ray's dry dog food, for example, is about half the price of Farm Stands Selects, and Buffalo Blue is about the same price. For a household like ours with three dogs, the Farm Stands Selects is too pricey  to feed the girls exclusively. We'd feel obliged to mix another good, but less expensive food with it. For those with one pet and for whom money is not an issue, I say you can't go wrong with Farm Selects.",1,0.4940381646156311
0,0,5,"You will not find a better loose green tea for the price.  I was able to get free shipping as well since I bought it with something else that totaled over $25.  This is the tea used by many Japanese people.  Do not fall for those high-priced ""organic"" green teas produced by American companies.  They are good...but you are not getting anything better than Hime Ban Cha Tea.",2,0.6523662209510803
0,0,5,"This is the favorite green tea in our household.  Been using it for years.  Was happy to find it here on Amazon, otherwise we had to travel about forty miles to an oriental grocery store to purchase it.  Can't even buy any leaf tea of any kind in regular grocery stores any more.  By the way ""Ban Cha"" in Japan simply means common or everyday tea.  Not ceremonial.",2,0.9020858407020569
0,0,5,"I love this tea!! It is so flavorful yet there is no cut grass or off flavor as with some green teas. It is so mild that even left steeping it does not become bitter.It has a very mellow flavor that my kids enjoy too.It's great without sweeteners.<br /> It is a loose leaf tea and when steeped the leaves unfurl,long and slender. A little tea goes a long way. Enjoy!",2,0.9716432094573975
0,0,5,"I have been drinking this green tea for sometime and was purchasing it when I was going to Syracuse every summer.  This year I stopped going there and didn't know where I was going to buy my tea until I spotted it on Amazon and purchased it.  I was so pleased  that I could get it, so I am now a happy camper once again.",2,0.8973758816719055
0,0,5,"This is the real deal. Genmai Cha. Loose green tea and roasted brown rice. Not in bags. Originally known as the ""Peoples Tea"" for those who couldn't afford better. Very popular because of its mild flavor. You can drink it all day long (like I do). You won't be disappointed.",2,0.8737366199493408
2,2,5,"Gatorade G2 is the way to go when you want the benefits of Gatorade without quite so much sugar. As I am in a ""pre-diabetes"" state these days, I am drinking this type of Gatorade instead of the regular Gatorade which has noticeably more sugar in it. The really good thing is that this still replenishes carbs and electrolytes after I exercise without putting unnecessary extra sugar into my system.<br /><br />G2 comes in flavors including fruit punch and grape.<br /><br />If you're on the go, the advantage of these bottles of Gatorade is this: because the bottles are smaller you can carry them with you much easier than if you took the regular, larger size bottles of Gatorade G2.<br /><br />I highly recommend this drink if you need extra carbs or electrolytes after exercising; it replenishes them very well without the extra sugar found in regular Gatorade.",2,0.7851643562316895
